# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	32011
#@/user_id	ad3c437b-04c4-483c-8723-c12dbf83d6b6
a 	啊	c=85 d=0.248595 t=32011
a jīng yàn 	啊经验	c=1 d=1.86172e-47 t=32011
a sāi 	啊塞	c=1 d=0.00628242 t=32011
a sāi fá sāi 	啊塞阀塞	c=1 d=0.0605068 t=32011
ba 	吧	c=32 d=0.384812 t=32011
bei 	呗	c=1 d=4.48154e-29 t=32011
biàn 	变	c=5 d=3.17333e-13 t=32011
biàn chéng 	变成	c=2 d=1.77526e-17 t=32011
biàn de 	变得	c=1 d=2.52359e-08 t=32011
biàn gēng 	变更	c=3 d=1.72461e-11 t=32011
biàn huà 	变化	c=3 d=2.96398e-18 t=32011
biàn le 	变了	c=1 d=1.23343e-27 t=32011
biàn liàng 	变量	c=4 d=0.0235177 t=32011
biàn lì 	便利	c=2 d=1.84225e-41 t=32011
biàn tōng 	变通	c=1 d=8.16174e-23 t=32011
biàn tǐ 	变体	c=1 d=1 t=24806
biàn wéi 	变为	c=3 d=1.17571e-22 t=32011
biàn xiàn 	变现	c=1 d=1.24519e-21 t=32011
biàn xiàng 	变相	c=1 d=9.61771e-13 t=32011
bié 	别	c=2 d=2.02522e-08 t=32011
bié dòng 	别动	c=1 d=1.06509e-36 t=32011
bié rén 	别人	c=3 d=3.36472e-09 t=32011
bié rén yòng 	别人用	c=1 d=2.61436e-12 t=32011
bié tí 	别提	c=1 d=2.61525e-16 t=32011
bié wàng le 	别忘了	c=1 d=9.1468e-40 t=32011
biān 	边	c=1 d=3.03478e-31 t=32011
biān chéng 	编程	c=18 d=0.222163 t=32011
biān jí 	编辑	c=10 d=0.00489275 t=32011
biān jù 	编剧	c=3 d=1.46848e-22 t=32011
biān jù 	边距	c=4 d=2.15192e-16 t=32011
biān mǎ 	编码	c=2 d=7.80713e-23 t=32011
biān xiě 	编写	c=3 d=2.27909e-15 t=32011
biān yì 	编译	c=17 d=0.447088 t=32011
biāo 	彪	c=2 d=1.0553 t=29730
biāo gē 	彪哥	c=9 d=0.106459 t=32011
biāo qiān 	标签	c=1 d=0.0788664 t=32011
biāo qiān yè 	标签页	c=3 d=0.0123377 t=32011
biāo shēng 	飙升	c=1 d=5.35899e-15 t=32011
biāo tí 	标题	c=8 d=5.97862e-16 t=32011
biāo zhǔn 	标准	c=4 d=5.11883e-05 t=32011
biǎn dī 	贬低	c=1 d=4.94261e-34 t=32011
biǎo dá 	表达	c=1 d=5.16835e-30 t=32011
biǎo dá qīng chǔ 	表达清楚	c=1 d=1 t=29197
biǎo dān 	表单	c=1 d=4.24822e-47 t=32011
biǎo gé 	表格	c=4 d=0.267135 t=32011
biǎo shì 	表示	c=5 d=0.25924 t=32011
biǎo shù 	表述	c=2 d=2.46723e-07 t=32011
biǎo xiàn 	表现	c=10 d=0.00180898 t=32011
bà 	爸	c=2 d=8.07955e-15 t=32011
bà ba 	爸爸	c=1 d=4.06142e-18 t=32011
bài 	败	c=1 d=4.01186e-50 t=32011
bàn 	办	c=2 d=1.43455e-10 t=32011
bàn fǎ 	办法	c=4 d=0.000252273 t=32011
bàn tiān 	半天	c=1 d=1.32444e-41 t=32011
bàn xué qī 	半学期	c=1 d=1.04404e-07 t=32011
bàng biān 	傍边	c=1 d=0.00199922 t=32011
bào 	报	c=12 d=0.000192233 t=32011
bào bào 	抱抱	c=4 d=3.32351e-12 t=32011
bào cuò 	报错	c=107 d=0.468391 t=32011
bào gào 	报告	c=2 d=3.19211e-08 t=32011
bào jǐng gào 	报警告	c=1 d=1.02511e-27 t=32011
bào lù 	暴露	c=1 d=1.14567e-41 t=32011
bào míng 	报名	c=1 d=5.37012e-10 t=32011
bào shù 	报数	c=1 d=2.5467e-27 t=32011
bào xiāo 	报销	c=3 d=0.0765355 t=32011
bái 	白	c=2 d=0.215456 t=32011
bái míng dān 	白名单	c=1 d=1 t=23932
bái píng 	白屏	c=5 d=1.7341e-35 t=32011
bèi 	背	c=3 d=5.83655e-08 t=32011
bèi 	被	c=12 d=0.000351862 t=32011
bèi dān cí 	背单词	c=7 d=0.0160028 t=32011
bèi fèn 	备份	c=1 d=4.96569e-30 t=32011
bèi hòu 	背后	c=1 d=9.37706e-09 t=32011
bèi jǐng 	背景	c=11 d=0.0143357 t=32011
bèi kǎo 	备考	c=13 d=0.250324 t=32011
bèi miàn 	背面	c=1 d=1.16845e-08 t=32011
bèi mìng míng wéi 	被命名为	c=1 d=3.12338e-46 t=32011
bèi nǐ 	被你	c=1 d=1 t=28354
bèi rén 	被人	c=1 d=3.54841e-47 t=32011
bèi sāi ěr 	贝塞尔	c=1 d=4.976e-25 t=32011
bèi wō 	被窝	c=1 d=6.24132e-14 t=32011
bèi xià lái 	背下来	c=1 d=2.21595e-08 t=32011
bèi xuǎn 	备选	c=1 d=1.22307e-16 t=32011
bèi yǐn rù 	被引入	c=1 d=2.71866e-31 t=32011
bèi zhàn 	被占	c=1 d=3.96101e-47 t=32011
bèi zhù 	备注	c=1 d=4.68702e-27 t=32011
bì jìng 	毕竟	c=1 d=1 t=28755
bì kēng 	避坑	c=1 d=1 t=28544
bì miǎn 	避免	c=6 d=0.00909528 t=32011
bì xū 	必须	c=3 d=6.98389e-13 t=32011
bì yào 	必要	c=6 d=0.00065629 t=32011
bì yè 	毕业	c=1 d=1.59831e-17 t=32011
bì zhǐ 	壁纸	c=1 d=7.83079e-36 t=32011
bìng 	并	c=60 d=0.243793 t=32011
bìng bù yí dìng 	并不一定	c=1 d=5.79724e-28 t=32011
bìng bú shì 	并不是	c=1 d=1 t=29416
bìng fā 	并发	c=1 d=1 t=26094
bìng méi yǒu 	并没有	c=3 d=3.66543e-17 t=32011
bìng qiě 	并且	c=10 d=0.315058 t=32011
bìng yǒu 	并有	c=2 d=0.126186 t=32011
bí yán 	鼻炎	c=1 d=1.15043e-31 t=32011
bò he 	薄荷	c=6 d=0.927743 t=32011
bó kè 	博客	c=4 d=0.00199106 t=32011
bù 	不	c=42 d=1.27127 t=32011
bù 	步	c=1 d=1 t=29795
bù chéng gōng 	不成功	c=1 d=1.72274e-46 t=32011
bù chī fàn 	不吃饭	c=1 d=1.36315e-27 t=32011
bù chū yì wài 	不出意外	c=1 d=1.92312e-17 t=32011
bù chǔ lǐ 	不处理	c=2 d=4.38459e-08 t=32011
bù cún zài 	不存在	c=1 d=0.00687406 t=32011
bù dé 	不得	c=1 d=1.26659e-45 t=32011
bù fèn 	部分	c=5 d=0.216536 t=32011
bù guān 	不关	c=2 d=4.32779e-27 t=32011
bù guī fàn 	不规范	c=1 d=1 t=23959
bù guǎn 	不管	c=3 d=9.06514e-25 t=32011
bù guǎn bú gù 	不管不顾	c=1 d=2.39635e-17 t=32011
bù gǎn 	不敢	c=1 d=1.34423e-39 t=32011
bù gǔn dòng 	不滚动	c=1 d=5.2918e-43 t=32011
bù hé lǐ 	不合理	c=4 d=6.23504e-13 t=32011
bù hé shì 	不合适	c=1 d=5.82215e-49 t=32011
bù hǎo 	不好	c=17 d=0.00172909 t=32011
bù hǎo kàn 	不好看	c=3 d=1.99819 t=26636
bù jiā 	不加	c=1 d=1 t=27441
bù jiē 	不接	c=1 d=0.310367 t=32011
bù jué dé 	不觉得	c=1 d=4.81468e-49 t=32011
bù jí wù dòng cí 	不及物动词	c=1 d=1 t=29927
bù jú 	布局	c=19 d=0.508506 t=32011
bù jī jí 	不积极	c=1 d=1.19263e-43 t=32011
bù jǐn 	不仅	c=1 d=1 t=28580
bù kāi xīn 	不开心	c=2 d=4.64284e-18 t=32011
bù kě 	不可	c=3 d=0.0668703 t=32011
bù kě diǎn jī 	不可点击	c=1 d=1 t=25159
bù kě xiǎn shì 	不可显示	c=1 d=1 t=25131
bù kě yǐ 	不可以	c=1 d=1 t=30754
bù kǎo lǜ 	不考虑	c=2 d=1 t=31589
bù kǒu kǒu 	不口口	c=1 d=2.10931e-16 t=32011
bù liú chéng 	不流程	c=1 d=1.28844e-11 t=32011
bù liǎo 	不了	c=5 d=0.105049 t=32011
bù lí kāi 	不离开	c=1 d=3.84407e-18 t=32011
bù lěng 	不冷	c=1 d=1.66955e-30 t=32011
bù mǎi le 	不买了	c=1 d=3.40869e-45 t=32011
bù mǎn yì 	不满意	c=2 d=0.000284437 t=32011
bù mǎn zú 	不满足	c=1 d=5.05809e-41 t=32011
bù néng 	不能	c=19 d=0.0608727 t=32011
bù pǔ tōng 	不普通	c=0 d=1.31743e-09 t=32011
bù qīng chu 	不清楚	c=4 d=9.85783e-09 t=32011
bù qīng xī 	不清晰	c=2 d=0.00096344 t=32011
bù rán 	不然	c=6 d=0.636787 t=32011
bù shuō 	不说	c=1 d=3.34017e-12 t=32011
bù shēng xiào 	不生效	c=10 d=0.0232837 t=32011
bù shě dé 	不舍得	c=1 d=2.28538e-18 t=32011
bù shǐ yòng 	不使用	c=6 d=0.0305009 t=32011
bù shǔ 	部署	c=1 d=3.37316e-10 t=32011
bù téng 	不疼	c=1 d=1 t=25203
bù tóng 	不同	c=15 d=0.0330485 t=32011
bù wán shàn 	不完善	c=1 d=1 t=27295
bù wén bú wèn 	不闻不问	c=1 d=5.74854e-17 t=32011
bù xiǎn shì 	不显示	c=4 d=0.0086517 t=32011
bù xiǎng 	不想	c=16 d=0.000587285 t=32011
bù xiǎng qù 	不想去	c=1 d=1 t=24313
bù xiǎng shuō 	不想说	c=1 d=2.52788e-28 t=32011
bù xiǎng yào 	不想要	c=2 d=3.77373e-36 t=32011
bù xuǎn zé 	不选择	c=1 d=2.32632e-21 t=32011
bù xíng 	不行	c=19 d=0.980199 t=32011
bù xū yào 	不需要	c=22 d=0.00317529 t=32011
bù xǐ huan 	不喜欢	c=3 d=5.4618e-07 t=32011
bù yí yàng 	不一样	c=1 d=2.61935e-05 t=32011
bù yā suō 	不压缩	c=1 d=6.36503e-39 t=32011
bù yī lài 	不依赖	c=1 d=1.03347e-05 t=32011
bù yī zhì 	不一致	c=13 d=2.80933e-05 t=32011
bù yīng gāi 	不应该	c=1 d=2.99886e-38 t=32011
bù yǐng xiǎng 	不影响	c=3 d=3.78297e-06 t=32011
bù yǒu hǎo 	不友好	c=1 d=1 t=27376
bù zháo jí 	不着急	c=1 d=2.44426e-44 t=32011
bù zhí xíng 	不执行	c=2 d=0.927743 t=32011
bù zhòu 	步骤	c=10 d=0.0217096 t=32011
bù zhī chí 	不支持	c=4 d=2.07188e-20 t=32011
bù zhī dào 	不知道	c=18 d=0.00327974 t=32011
bù zhǐ dìng 	不指定	c=1 d=1.41685e-11 t=32011
bù zhǐ yǒu 	不止有	c=1 d=3.74012e-19 t=32011
bù zhǔn 	不准	c=1 d=2.71164e-30 t=32011
bú biàn 	不变	c=11 d=0.0274457 t=32011
bú bèi 	不背	c=1 d=1 t=25535
bú chà 	不差	c=1 d=3.3286e-30 t=32011
bú cuì 	不脆	c=1 d=1 t=25642
bú duì 	不对	c=11 d=0.869358 t=32011
bú dài 	不带	c=2 d=1.07862e-08 t=32011
bú dào 	不到	c=2 d=0.918512 t=32011
bú dòng 	不动	c=1 d=8.79591e-21 t=32011
bú fù zé 	不负责	c=1 d=2.1279e-31 t=32011
bú guò 	不过	c=11 d=4.84489e-05 t=32011
bú guò qù 	不过去	c=1 d=1 t=27537
bú gòu 	不够	c=3 d=2.43637e-06 t=32011
bú huì 	不会	c=5 d=0.000825105 t=32011
bú huì qù 	不会去	c=1 d=1 t=25986
bú huì xìn 	不会信	c=1 d=6.49472e-41 t=32011
bú jiù 	不就	c=2 d=2.43174e-13 t=32011
bú jìn qù 	不进去	c=1 d=1.27649e-19 t=32011
bú kòu 	不扣	c=2 d=3.73799e-12 t=32011
bú lì yú 	不利于	c=5 d=0.000385874 t=32011
bú pàng 	不胖	c=1 d=1.39069e-27 t=32011
bú què dìng 	不确定	c=3 d=6.497e-14 t=32011
bú qù 	不去	c=2 d=1.40128e-28 t=32011
bú rèn shi 	不认识	c=1 d=1 t=24020
bú shàng bān 	不上班	c=1 d=2.07001e-30 t=32011
bú shàng qù 	不上去	c=1 d=1.42837e-18 t=32011
bú shì 	不是	c=39 d=0.270637 t=32011
bú shì bù shì 	不是不是	c=1 d=1.62694e-20 t=32011
bú shì xiān 	不是先	c=1 d=2.86944e-19 t=32011
bú tài 	不太	c=7 d=0.167797 t=32011
bú tài hǎo 	不太好	c=2 d=1.33089e-10 t=32011
bú tài xiǎng qù 	不太想去	c=1 d=0.339596 t=32011
bú xià 	不下	c=2 d=1.85186e-14 t=32011
bú xià qù 	不下去	c=1 d=1 t=24432
bú xìn 	不信	c=1 d=1 t=26765
bú yuàn yì 	不愿意	c=1 d=3.05954e-09 t=32011
bú yào 	不要	c=33 d=0.995187 t=32011
bú yào shēng jí 	不要升级	c=1 d=1.68375e-12 t=32011
bú yòng 	不用	c=27 d=0.427419 t=32011
bú yòng le 	不用了	c=1 d=1.27867e-39 t=32011
bú zhèng cháng 	不正常	c=1 d=2.64469e-30 t=32011
bú zhèng què 	不正确	c=1 d=3.71881e-40 t=32011
bú zuò 	不做	c=1 d=2.20753e-22 t=32011
bú zài 	不再	c=2 d=0.00873865 t=32011
bú zài 	不在	c=5 d=1.80235e-11 t=32011
bú zì rán 	不自然	c=1 d=2.26927e-23 t=32011
bā diǎn 	八点	c=3 d=3.74308e-06 t=32011
bā fēi tè 	巴菲特	c=2 d=0.206098 t=32011
bā nián 	八年	c=1 d=1.52425e-47 t=32011
bān 	班	c=3 d=7.91395e-07 t=32011
bān 	般	c=3 d=1.42739e-10 t=32011
bāng 	帮	c=15 d=4.84154e-06 t=32011
bāng máng 	帮忙	c=3 d=0.18452 t=32011
bāng nǐ 	帮你	c=3 d=0.737263 t=32011
bāng wǒ 	帮我	c=269 d=3.20994 t=32011
bāng zhù 	帮助	c=2 d=1.65841e-45 t=32011
bāo 	包	c=20 d=0.818731 t=32011
bāo bāo 	包包	c=1 d=1.25399e-45 t=32011
bāo guǎn lǐ 	包管理	c=1 d=1 t=31012
bāo guǒ 	包裹	c=2 d=1.01518e-22 t=32011
bāo hán 	包含	c=4 d=1.66223 t=32011
bāo kuò 	包括	c=4 d=0.408608 t=32011
bāo míng 	包名	c=3 d=1.66339e-09 t=32011
bēng kuì 	崩溃	c=2 d=5.87585e-10 t=32011
běi jīng 	北京	c=2 d=1.86984e-40 t=32011
běn 	本	c=5 d=0.0464212 t=32011
běn dì 	本地	c=31 d=0.00874587 t=32011
běn lái 	本来	c=5 d=0.0369797 t=32011
běn shēn 	本身	c=2 d=2.39505e-40 t=32011
běn shū 	本书	c=1 d=1 t=25973
běn yīng 	本应	c=1 d=2.24516e-15 t=32011
